scan_ID, AX_acc, AX_RT_mean, AY_acc, AY_RT_mean, BX_acc, BX_RT_mean, BY_acc, BY_RT_mean
115825,0.895833,311.860465,0.916667,422.909091,0.666667,351.375,0.854167,365.560976
130114,0.958333,405.304348,1,633.333333,0.666667,620.5,0.916667,510.977273
132017,1,395.375,0.916667,571,0.583333,944.857143,0.958333,484.826087
141422,0.958333,525.521739,1,738.75,1,746.083333,0.958333,571.521739
150423,0.979167,476.382979,1,636.166667,0.916667,850.818182,1,507.25
158136,0.979167,402.276596,1,542.833333,0.75,517.444444,1,416.145833
161832,0.583333,565.785714,0.75,594.222222,0.666667,775.5,0.5,583.75
165032,0.979167,348.276596,0.833333,456.2,0.916667,459.363636,1,356.145833
173738,0.979167,391.276596,1,565.5,0.583333,658,0.979167,479.659574
178647,0.916667,507.113636,0.916667,607.818182,0.833333,642.5,0.958333,491.586957
178950,1,399.708333,1,539.583333,0.916667,640.818182,1,423.375
182436,0.979167,466.489362,1,554.583333,0.666667,611.375,0.958333,461.695652
204319,0.979167,445.212766,1,527.666667,0.75,557.444444,0.979167,463.255319
233326,0.958333,427.456522,1,487,1,424.166667,1,433.8125
300618,0.875,829.785714,1,791.75,0.75,906.888889,0.833333,883.35
346945,1,318.416667,1,554.5,0.916667,390.090909,1,372.520833
393550,1,393.729167,0.916667,571.545455,0.583333,512,1,533.333333
448347,0.75,583.111111,0.833333,666.6,1,783.583333,0.75,720.777778
601127,0.958333,427.152174,0.916667,671.363636,0.916667,487.454545,0.833333,481.975
672756,0.958333,335.086957,1,477.333333,1,461,0.979167,414.170213
765864,0.979167,460.234043,0.916667,550,0.916667,535.181818,0.9375,429.488889
849971,0.895833,396.860465,1,575.083333,0.916667,599.727273,1,393.416667
877168,0.916667,455.25,1,702.083333,0.75,769.777778,0.9375,620.111111
DMCC1624043,0.9375,448.177778,1,612.25,0.833333,627.8,1,468.229167
DMCC2442951,0.916667,329.318182,0.833333,553.3,0.916667,358,0.979167,360.234043
DMCC2609759,1,397.583333,1,580,0.833333,622.4,1,461.583333
DMCC2803654,1,523.458333,1,626.583333,0.833333,699.7,1,506.916667
DMCC2834766,0.979167,377.468085,0.916667,580.272727,0.916667,541.818182,0.9375,371.533333
DMCC3062542,1,425.854167,1,564.25,1,604.25,1,506.729167
DMCC3204738,0.979167,459.595745,1,653.333333,0.833333,708.1,0.958333,549.869565
DMCC3963378,1,444.104167,0.916667,560.545455,0.666667,739.125,1,517.1875
DMCC4191255,0.979167,384.914894,1,523.75,0.916667,476,1,418.020833
DMCC5195268,1,378.625,1,646.5,1,532.666667,1,502.041667
DMCC5775387,0.9375,424.222222,1,566.583333,0.916667,499.636364,0.979167,470.574468
DMCC6418065,0.979167,340.106383,1,467.583333,1,474.083333,1,386.4375
DMCC6484785,0.979167,559.978723,1,660.25,0.833333,1081.8,1,532.895833
DMCC6627478,0.916667,378.431818,1,484.833333,0.916667,477.272727,1,405.8125
DMCC6661074,0.979167,516.978723,1,685.333333,1,848.5,0.979167,588
DMCC6671683,1,396.0625,0.75,552.333333,0.75,565.111111,0.958333,475.326087
DMCC6705371,0.9375,368.577778,1,538.583333,0.916667,487.090909,1,362.583333
DMCC6721369,0.979167,382.893617,0.916667,620.272727,1,434.666667,0.958333,434.434783
DMCC7297690,0.979167,380.234043,1,498.833333,0.833333,399.9,0.979167,399.297872
DMCC7921988,0.979167,430.446809,1,581.083333,0.916667,801.636364,0.958333,434.347826
DMCC8050964,1,395.520833,1,520.916667,1,558.083333,1,398.645833
DMCC8078683,1,675.958333,0.833333,879.4,1,927.666667,0.979167,627.659574
DMCC8214059,0.916667,317.136364,0.75,474.333333,0.833333,375.2,0.916667,351.75
DMCC8260571,0.854167,325.902439,0.916667,460,0.916667,500.090909,0.9375,389.955556
DMCC9441378,0.9375,673.6,0.833333,799.6,1,923.5,0.854167,772.829268
DMCC9478705,1,468.895833,1,552,1,629.916667,0.979167,496.319149
DMCC9953810,0.958333,355.978261,1,464.416667,0.916667,559.090909,0.958333,397.869565
