scan_ID, LL_acc, LL_RT_mean, HL_acc, HL_RT_mean
115825,0.777778,846.228571,0.888889,911.775
130114,0.955556,955.465116,0.955556,898.813953
132017,0.822222,1148.594595,0.888889,1081.55
141422,0.911111,1307,0.8,1348.722222
150423,0.866667,1008.74359,0.911111,1004.634146
158136,1,776.688889,0.888889,781.95
161832,0.755556,1098.5,0.755556,1265.352941
165032,0.933333,811.571429,0.866667,827.333333
173738,0.888889,888.625,0.888889,965.175
178647,0.711111,1208.6875,0.622222,1254.892857
178950,1,913.688889,0.955556,891.093023
182436,0.622222,1431.928571,0.644444,1411.586207
204319,0.933333,970.380952,0.844444,1008.394737
233326,0.977778,773.272727,0.844444,708.552632
300618,0.933333,1109.619048,0.866667,1067.282051
346945,0.911111,951.731707,0.777778,980.514286
393550,0.888889,975.2,0.911111,1088.195122
448347,0.777778,1286.228571,0.622222,1344.785714
601127,0.755556,1017.441176,0.822222,1031.594595
672756,0.911111,755.829268,0.911111,925.170732
765864,0.911111,847.536585,0.911111,906.341463
849971,0.955556,939.27907,0.933333,936.261905
877168,0.866667,1065.435897,0.844444,1259.763158
DMCC1624043,0.844444,997.210526,0.822222,1098.810811
DMCC2442951,0.933333,808.952381,0.933333,756.02381
DMCC2609759,0.977778,951.5,0.844444,877.973684
DMCC2803654,0.466667,927.095238,0.466667,980.333333
DMCC2834766,0.866667,1087.25641,0.733333,1079.545455
DMCC3062542,0.888889,1006.625,0.955556,1082.55814
DMCC3204738,0.955556,1007.488372,0.866667,1106.717949
DMCC3963378,0.911111,1033.170732,0.911111,903.487805
DMCC4191255,0.888889,803.6,0.866667,834.487179
DMCC5195268,0.977778,964.840909,0.844444,989
DMCC5775387,0.888889,949.475,0.888889,857.075
DMCC6418065,0.888889,834.025,0.844444,803.894737
DMCC6484785,0.933333,1202.119048,0.933333,1243.690476
DMCC6627478,0.888889,755.875,0.933333,844.142857
DMCC6661074,0.888889,1178.525,1,1267.555556
DMCC6671683,0.844444,1170.947368,0.755556,1245.147059
DMCC6705371,0.911111,905.878049,0.844444,921.657895
DMCC6721369,0.822222,802.648649,0.844444,803.868421
DMCC7297690,0.888889,848.3,0.822222,965.297297
DMCC7921988,0.933333,1189.809524,0.822222,1215.216216
DMCC8050964,0.977778,1001.590909,0.888889,996.075
DMCC8078683,0.933333,1065.738095,0.888889,1082.3
DMCC8214059,0.822222,997.72973,0.711111,1043.15625
DMCC8260571,0.955556,831.372093,0.888889,807.3
DMCC9441378,0.955556,988.581395,0.888889,956.325
DMCC9478705,0.911111,992.902439,0.866667,1075.74359
DMCC9953810,0.955556,1050.418605,0.755556,1000.176471
